BugID, ResolutionTime, BugStatus, BugResolution, NumberComments,  NumberAuthors, NumberCC, BugStatusHistory, BugResolutionHistory, BugStatusResolutionHistory 
752245,65, VERIFIED, FIXED,50,15,19,,,
811559,77, VERIFIED, FIXED,4,3,2,,,
745152,18, REOPENED, (null),27,11,12,,,
697105,2, VERIFIED, FIXED,6,3,0,,,
786716,25, VERIFIED, FIXED,16,6,9,,,
735790,9, VERIFIED, FIXED,8,5,4,,,
772502,28, VERIFIED, FIXED,12,5,11,,,
879335,15, VERIFIED, FIXED,22,5,10,,,
727610,378, VERIFIED, FIXED,6,5,4,,,
763396,94, VERIFIED, FIXED,11,7,10,,,
845335,50, VERIFIED, FIXED,14,7,7,,,
753880,7, VERIFIED, FIXED,18,10,13,,,
817735,84, VERIFIED, FIXED,8,7,6,,,
697529,1, VERIFIED, FIXED,4,4,2,,,
790897,14, VERIFIED, FIXED,29,7,10,,,
737021,178, VERIFIED, FIXED,25,11,20,,,
885941,27, VERIFIED, FIXED,16,7,5,,,
728783,11, VERIFIED, FIXED,9,4,3,,,
764901,223, REOPENED, (null),151,6,4,,,
854006,5, VERIFIED, FIXED,17,5,4,,,
755549,6, VERIFIED, FIXED,17,8,8,,,
823317,14, VERIFIED, FIXED,5,4,4,,,
747883,74, VERIFIED, FIXED,25,9,11,,,
795045,109, VERIFIED, FIXED,30,11,12,,,
739066,57, VERIFIED, FIXED,10,6,4,,,
