BugID, ResolutionTime, BugStatus, BugResolution, NumberComments,  NumberAuthors, NumberCC, BugStatusHistory, BugResolutionHistory, BugStatusResolutionHistory 
738623, 235, RESOLVED, WORKSFORME, 2, 2, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
759292, 169, RESOLVED, WORKSFORME, 1, 1, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
813910, 14, RESOLVED, WORKSFORME, 2, 3, 2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
704963, 14, RESOLVED, WORKSFORME, 3, 3, 3,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
820296, 146, RESOLVED, WORKSFORME, 2, 1, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
744798, 7, RESOLVED, WORKSFORME, 12, 6, 7,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
854180, 17, RESOLVED, WORKSFORME, 2, 3, 3,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
822033, 212, RESOLVED, WORKSFORME, 11, 3, 5,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
769165, 268, RESOLVED, WORKSFORME, 7, 3, 6,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
786733, 334, RESOLVED, WORKSFORME, 9, 6, 6,UNCONFIRMED > NEW > RESOLVED, --- > WORKSFORME, , 
762855, 288, RESOLVED, WORKSFORME, 0, 1, 6,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
742403, 9, RESOLVED, WORKSFORME, 21, 6, 5,UNCONFIRMED > NEW > RESOLVED, --- > WORKSFORME, , 
744976, 19, RESOLVED, WORKSFORME, 4, 3, 2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
849922, 13, VERIFIED, FIXED, 23, 7, 8,NEW > RESOLVED > REOPENED > RESOLVED > VERIFIED, --- > WORKSFORME > --- > FIXED, , 
800286, 211, RESOLVED, WORKSFORME, 4, 4, 8,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
838275, 5, RESOLVED, WORKSFORME, 6, 2, 1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
712550, 0, RESOLVED, WORKSFORME, 2, 2, 2,NEW > RESOLVED, --- > INVALID > WORKSFORME, , 
788335, 0, RESOLVED, WORKSFORME, 6, 2, 6,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
776927, 34, RESOLVED, WORKSFORME, 5, 4, 5,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
734940, 28, RESOLVED, WORKSFORME, 9, 5, 5,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
694605, 3, RESOLVED, WORKSFORME, 3, 2, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
