BugID, ResolutionTime, BugStatus, BugResolution, NumberComments,  NumberAuthors, NumberCC, BugStatusHistory, BugResolutionHistory, BugStatusResolutionHistory 
48074, 30, RESOLVED, WORKSFORME, 6, 2, 2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
29499, 735, RESOLVED, WORKSFORME, 9, 6, 9,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
19261, 382, RESOLVED, FIXED, 11, 7, 5,NEW > RESOLVED > REOPENED > NEW > RESOLVED > REOPENED > RESOLVED, --- > WORKSFORME > --- > FIXED > --- > FIXED, , 
30862, 128, RESOLVED, WORKSFORME, 1, 2, 3,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
29753, 246, RESOLVED, FIXED, 19, 6, 5,NEW > RESOLVED > REOPENED > RESOLVED > REOPENED > RESOLVED, --- > FIXED > --- > WORKSFORME > --- > FIXED, NEW (---) > RESOLVED (FIXED) > REOPENED (---) > RESOLVED (WORKSFORME) > REOPENED (---) > RESOLVED (FIXED) , 
33685, 94, RESOLVED, WORKSFORME, 1, 2, 3,NEW > ASSIGNED > RESOLVED, --- > WORKSFORME, , 
1451, 1928, RESOLVED, WORKSFORME, 4, 2, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
2752, 1772, RESOLVED, WORKSFORME, 9, 6, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
10014, 1088, RESOLVED, WORKSFORME, 2, 3, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
17528, 0, RESOLVED, WORKSFORME, 3, 2, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
24301, 115, RESOLVED, WORKSFORME, 4, 4, 3,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
30559, 264, RESOLVED, WONTFIX, 7, 6, 6,NEW > RESOLVED > REOPENED > RESOLVED, --- > WORKSFORME > --- > WONTFIX, NEW (---) > RESOLVED (WORKSFORME) > REOPENED (---) > RESOLVED (WONTFIX) , 
30872, 85, RESOLVED, WORKSFORME, 1, 2, 2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
38801, 2, RESOLVED, WORKSFORME, 9, 4, 2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
38793, 300, RESOLVED, WORKSFORME, 4, 4, 3,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
277, 2080, RESOLVED, WORKSFORME, 5, 3, 0,NEW > RESOLVED > REOPENED > RESOLVED, --- > WORKSFORME > --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) > REOPENED (---) > RESOLVED (WORKSFORME) , 
2829, 0, RESOLVED, WORKSFORME, 2, 2, 0,NEW > RESOLVED, --- > INVALID > WORKSFORME, , 
4195, 1, RESOLVED, WORKSFORME, 3, 3, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
4842, 1562, RESOLVED, FIXED, 4, 2, 0,NEW > RESOLVED > REOPENED > RESOLVED, --- > WORKSFORME > --- > FIXED, NEW (---) > RESOLVED (WORKSFORME) > REOPENED (---) > RESOLVED (FIXED) , 
3913, 1647, RESOLVED, WORKSFORME, 2, 3, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
6762, 0, RESOLVED, WORKSFORME, 1, 2, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
7160, 0, RESOLVED, WORKSFORME, 5, 2, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
5111, 1538, RESOLVED, WORKSFORME, 10, 5, 0,NEW > RESOLVED > REOPENED > RESOLVED > REOPENED > RESOLVED, --- > INVALID > --- > INVALID > --- > WORKSFORME, NEW (---) > RESOLVED (INVALID) > REOPENED (---) > RESOLVED (INVALID) > REOPENED (---) > RESOLVED (WORKSFORME) , 
7887, 0, RESOLVED, WORKSFORME, 4, 3, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
7659, 1301, RESOLVED, WORKSFORME, 6, 7, 1,NEW > RESOLVED > REOPENED > NEW > RESOLVED, --- > FIXED > --- > WORKSFORME, , 
9552, 0, RESOLVED, WORKSFORME, 1, 2, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
8993, 1185, RESOLVED, WORKSFORME, 5, 3, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
12160, 6, RESOLVED, WORKSFORME, 1, 2, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
12838, 836, RESOLVED, WORKSFORME, 3, 3, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
12579, 210, RESOLVED, WORKSFORME, 3, 4, 2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
18360, 754, RESOLVED, WORKSFORME, 1, 1, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
19880, 2, RESOLVED, WORKSFORME, 2, 3, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
27664, 0, RESOLVED, WORKSFORME, 2, 2, 2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
25763, 620, REOPENED, (null), 13, 9, 10,NEW > ASSIGNED > RESOLVED > REOPENED > RESOLVED > REOPENED, --- > WORKSFORME > --- > FIXED > ---, , 
31792, 197, RESOLVED, WORKSFORME, 30, 8, 9,NEW > RESOLVED > RESOLVED > REOPENED > RESOLVED, --- > DUPLICATE > --- > FIXED > --- > WORKSFORME, , 
22931, 989, RESOLVED, WORKSFORME, 7, 8, 16,NEW > RESOLVED > REOPENED > RESOLVED, --- > FIXED > --- > WORKSFORME, NEW (---) > RESOLVED (FIXED) > REOPENED (---) > RESOLVED (WORKSFORME) , 
29038, 593, RESOLVED, WORKSFORME, 7, 5, 6,NEW > RESOLVED > REOPENED > RESOLVED, --- > FIXED > --- > WORKSFORME, NEW (---) > RESOLVED (FIXED) > REOPENED (---) > RESOLVED (WORKSFORME) , 
152, 2097, CLOSED, WORKSFORME, 2, 2, 2,NEW > ASSIGNED > RESOLVED > CLOSED, --- > WORKSFORME, , 
175, 568, RESOLVED, FIXED, 9, 5, 1,NEW > ASSIGNED > RESOLVED > REOPENED > RESOLVED > REOPENED > RESOLVED, --- > FIXED > --- > WORKSFORME > --- > FIXED, , 
25, 154, RESOLVED, WORKSFORME, 5, 3, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
1181, 1968, RESOLVED, FIXED, 22, 12, 6,NEW > RESOLVED > REOPENED > RESOLVED > REOPENED > ASSIGNED > NEW > RESOLVED, --- > WORKSFORME > --- > FIXED > --- > FIXED, , 
2031, 2, RESOLVED, WORKSFORME, 2, 3, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
2289, 2, RESOLVED, WORKSFORME, 5, 5, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
1819, 161, RESOLVED, FIXED, 8, 5, 0,NEW > RESOLVED > REOPENED > RESOLVED > REOPENED > RESOLVED, --- > FIXED > --- > WORKSFORME > --- > FIXED, NEW (---) > RESOLVED (FIXED) > REOPENED (---) > RESOLVED (WORKSFORME) > REOPENED (---) > RESOLVED (FIXED) , 
2126, 1831, RESOLVED, WORKSFORME, 9, 6, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
1041, 1983, VERIFIED, WORKSFORME, 3, 3, 0,NEW > RESOLVED > VERIFIED, --- > WORKSFORME, , 
2868, 1765, RESOLVED, WORKSFORME, 2, 3, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
3308, 1718, RESOLVED, WORKSFORME, 7, 5, 0,NEW > RESOLVED > REOPENED > RESOLVED, --- > WORKSFORME > --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) > REOPENED (---) > RESOLVED (WORKSFORME) , 
3451, 0, RESOLVED, WORKSFORME, 1, 2, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
