FFAndroidWFM,FFAndroidNWFM,IndustryWFM,IndustryNWFM,WikiWFM,WikiNWFM,EclipseWFM,EclipseNWFM,FirefoxWFM,FirefoxNWFM,MoodleWFM,MoodleNWFM
5,36,2,8,2,20,5,3,4,9,1,2
4,5,0,2,3,15,5,18,6,7,1,2
2,26,1,2,2,6,3,0,3,3,1,2
3,7,2,2,4,10,3,5,6,18,1,2
4,10,2,1,7,17,1,4,8,21,2,2
5,10,4,0,1,5,2,4,1,20,1,3
2,10,3,2,1,2,25,5,3,4,1,3
2,71,2,2,3,1,1,6,9,3,1,3
2,11,4,1,3,3,1,4,5,3,4,2
2,3,2,1,1,1,17,4,11,8,1,3
37,18,1,2,1,19,1,3,5,1,7,2
15,10,1,1,8,2,7,5,3,10,2,2
2,17,3,2,1,10,3,4,1,12,3,2
1,13,2,1,3,7,2,8,2,45,4,2
3,9,2,1,11,8,1,2,7,71,1,2
8,11,4,8,2,3,3,7,5,118,3,3
5,11,2,2,1,3,5,20,1,2,1,0
4,15,2,2,7,8,3,5,5,6,1,2
1,2,3,2,4,1,3,10,1,3,7,1
1,9,4,2,23,14,1,2,3,3,1,1
4,27,5,2,2,2,1,6,5,4,1,1
1,24,3,3,2,3,1,5,6,4,1,2
1,9,2,2,42,3,9,6,10,19,5,2
5,41,5,2,6,9,2,1,3,5,1,3
8,15,2,1,2,25,7,10,3,8,2,2
4,50,2,3,4,15,7,5,4,4,4,3
2,4,3,2,3,1,9,3,4,7,5,3
9,27,4,4,3,5,1,5,1,13,12,2
2,6,2,1,4,1,1,2,16,17,8,3
10,16,2,3,7,8,4,4,1,4,3,2
2,8,2,3,1,9,4,4,5,5,15,2
8,12,1,3,2,7,7,4,3,3,1,3
4,22,3,2,8,5,3,4,2,2,1,2
8,6,1,2,8,13,10,3,2,31,2,1
6,11,0,3,1,8,14,3,5,3,4,2
8,14,1,2,3,15,2,3,7,2,3,2
5,18,1,1,5,4,5,3,4,17,4,2
10,8,2,1,1,5,2,2,1,2,2,3
2,4,1,3,1,3,13,2,3,24,1,2
10,29,4,2,2,3,8,2,1,7,1,3
3,25,2,2,5,4,5,3,2,48,12,2
2,16,1,1,2,7,8,2,6,17,3,3
13,9,1,1,2,5,5,6,12,7,5,3
3,151,2,2,2,7,3,4,2,6,10,2
2,17,4,1,1,3,1,3,5,6,1,2
7,17,2,1,3,4,2,2,2,61,1,2
1,5,2,1,8,1,2,24,0,10,3,2
2,25,1,2,1,3,2,5,11,12,1,3
11,30,2,2,1,10,32,5,5,14,3,2
2,10,2,1,9,5,2,2,4,13,0,1
2,7,1,1,2,1,2,0,24,6,1,1
3,21,2,1,38,7,2,2,3,3,11,3
8,21,1,0,12,23,5,5,2,3,4,2
1,19,2,3,4,10,14,17,3,10,1,3
